step_id,model_type,scenario_id,latency_ms,emotional_valence,coherence_score,planning_effectiveness,behavioral_alignment,fact_recall,rule_adherence,persona_consistency,emotional_trajectory,sensory_integration,decision_consistency,memory_hits
1,BrainCEMISID,Operation:_Stratosphere_Zero,30480.9071,0.35,9,10,6,10,10,9,8,1,10,2
1,Brain_No_Memory,Operation:_Stratosphere_Zero,17510.7658,0.35,9,10,8,9,9,9,8,1,9,2
1,Brain_No_Emotion,Operation:_Stratosphere_Zero,26133.6347,0,10,10,10,10,10,9,8,1,10,2
1,Baseline,Operation:_Stratosphere_Zero,2859.509,0.5,4,6,4,10,1,3,2,1,1,0
2,BrainCEMISID,Operation:_Stratosphere_Zero,31093.9733,0.6,7,3,4,2,2,8,4,5,3,2
2,Brain_No_Memory,Operation:_Stratosphere_Zero,19129.4714,0.6,7,5,6,8,7,8,7,1,7,2
2,Brain_No_Emotion,Operation:_Stratosphere_Zero,27718.6861,0,7,4,5,6,7,6,6,1,6,2
2,Baseline,Operation:_Stratosphere_Zero,3748.8515,0.5,4,3,2,3,2,1,2,2,3,0
3,BrainCEMISID,Operation:_Stratosphere_Zero,32264.4759,0.75,8,6,2,7,5,8,8,3,9,2
3,Brain_No_Memory,Operation:_Stratosphere_Zero,17597.7057,0.75,3,2,1,0,1,3,3,2,1,2
3,Brain_No_Emotion,Operation:_Stratosphere_Zero,27319.154,0,8,5,2,7,3,7,6,4,8,2
3,Baseline,Operation:_Stratosphere_Zero,3725.3441,0.5,4,5,1,3,2,1,2,3,3,0
4,BrainCEMISID,Operation:_Stratosphere_Zero,33525.2082,0.9,9,9,8,10,10,9,9,1,10,2
4,Brain_No_Memory,Operation:_Stratosphere_Zero,18506.5767,0.9,6,3,5,8,5,8,5,1,3,2
4,Brain_No_Emotion,Operation:_Stratosphere_Zero,28117.6172,0,6,3,4,9,9,3,2,1,6,2
4,Baseline,Operation:_Stratosphere_Zero,3863.2872,0.5,6,4,2,7,8,1,1,1,5,0
5,BrainCEMISID,Operation:_Stratosphere_Zero,32152.0107,0.9,8,3,4,10,6,9,9,3,7,2
5,Brain_No_Memory,Operation:_Stratosphere_Zero,18266.5775,0.9,8,3,4,9,4,9,8,4,3,2
5,Brain_No_Emotion,Operation:_Stratosphere_Zero,28262.6359,0,8,5,4,9,6,6,4,1,6,2
5,Baseline,Operation:_Stratosphere_Zero,3798.2965,0.5,3,2,1,4,3,1,2,1,2,0
6,BrainCEMISID,Operation:_Stratosphere_Zero,31666.0655,0.95,9,6,8,5,9,10,9,6,9,2
6,Brain_No_Memory,Operation:_Stratosphere_Zero,18344.8767,0.95,9,8,9,9,9,10,9,5,9,2
6,Brain_No_Emotion,Operation:_Stratosphere_Zero,27121.639,0,9,5,2,10,7,6,2,5,6,2
6,Baseline,Operation:_Stratosphere_Zero,3834.1511,0.5,4,3,2,4,4,5,3,6,3,0
7,BrainCEMISID,Operation:_Stratosphere_Zero,32373.7204,1,9,10,8,4,10,9,8,2,10,2
7,Brain_No_Memory,Operation:_Stratosphere_Zero,17568.654,0.95,7,7,5,3,9,7,6,1,8,2
7,Brain_No_Emotion,Operation:_Stratosphere_Zero,28283.6365,0,9,10,8,2,10,6,7,2,10,2
7,Baseline,Operation:_Stratosphere_Zero,3837.5481,0.5,3,2,1,7,2,1,2,2,2,0
8,BrainCEMISID,Operation:_Stratosphere_Zero,30780.0968,1,9,8,9,6,10,8,7,2,10,2
8,Brain_No_Memory,Operation:_Stratosphere_Zero,17398.9211,1,9,10,9,9,9,10,10,4,9,2
8,Brain_No_Emotion,Operation:_Stratosphere_Zero,28590.8881,0,3,3,3,1,3,2,0,1,3,2
8,Baseline,Operation:_Stratosphere_Zero,3673.6021,0.5,3,3,3,1,3,3,1,1,3,0
9,BrainCEMISID,Operation:_Stratosphere_Zero,32783.4106,1,9,6,8,4,9,9,8,3,9,2
9,Brain_No_Memory,Operation:_Stratosphere_Zero,18455.4102,1,7,2,4,6,3,8,7,6,3,2
9,Brain_No_Emotion,Operation:_Stratosphere_Zero,28018.9531,0,3,3,3,1,3,2,0,1,3,2
9,Baseline,Operation:_Stratosphere_Zero,3705.2958,0.5,4,3,2,5,3,1,1,1,3,0
10,BrainCEMISID,Operation:_Stratosphere_Zero,31799.9789,1,9,8,4,10,10,7,3,2,9,2
10,Brain_No_Memory,Operation:_Stratosphere_Zero,18018.2627,1,2,3,3,0,2,3,1,1,2,2
10,Brain_No_Emotion,Operation:_Stratosphere_Zero,28314.2566,0,9,8,7,10,10,7,7,5,9,2
10,Baseline,Operation:_Stratosphere_Zero,3731.3059,0.5,3,3,3,1,3,3,1,1,3,0
11,BrainCEMISID,Operation:_Stratosphere_Zero,31325.3541,1,9,7,9,5,10,9,8,3,10,2
11,Brain_No_Memory,Operation:_Stratosphere_Zero,17453.5678,1,2,3,3,0,2,3,1,1,2,2
11,Brain_No_Emotion,Operation:_Stratosphere_Zero,27551.2883,0,5,2,1,2,2,3,2,3,2,2
11,Baseline,Operation:_Stratosphere_Zero,3709.01,0.5,4,5,3,5,2,6,5,3,3,0
12,BrainCEMISID,Operation:_Stratosphere_Zero,31532.6352,1,2,2,1,3,1,4,1,4,2,2
12,Brain_No_Memory,Operation:_Stratosphere_Zero,18824.1952,1,7,9,1,4,1,4,1,3,7,2
12,Brain_No_Emotion,Operation:_Stratosphere_Zero,27381.1219,0,8,9,2,6,3,7,2,7,9,2
12,Baseline,Operation:_Stratosphere_Zero,3665.8541,0.5,2,3,1,5,2,1,2,4,2,0
13,BrainCEMISID,Operation:_Stratosphere_Zero,33095.2768,1,5,3,2,6,4,3,2,2,3,2
13,Brain_No_Memory,Operation:_Stratosphere_Zero,18599.7,1,7,4,5,8,6,6,5,3,7,2
13,Brain_No_Emotion,Operation:_Stratosphere_Zero,28158.1276,0,9,9,8,10,10,8,7,1,10,2
13,Baseline,Operation:_Stratosphere_Zero,3721.4036,0.5,3,2,2,4,1,1,2,1,3,0
1,BrainCEMISID,The_Best_Man’s_Toast,29767.2642,0.4,10,10,10,10,10,10,9,4,10,2
1,Brain_No_Memory,The_Best_Man’s_Toast,17681.4776,0.4,9,10,10,8,9,10,9,3,9,2
1,Brain_No_Emotion,The_Best_Man’s_Toast,26215.0683,0,10,10,10,10,10,8,8,3,10,2
1,Baseline,The_Best_Man’s_Toast,3704.5696,0.5,4,3,2,5,3,1,3,1,3,0
2,BrainCEMISID,The_Best_Man’s_Toast,31250.0416,0.7,9,9,9,8,10,10,10,6,10,2
2,Brain_No_Memory,The_Best_Man’s_Toast,17747.2767,0.7,8,4,9,5,7,10,9,6,7,2
2,Brain_No_Emotion,The_Best_Man’s_Toast,26664.1562,0,10,10,10,1,10,9,9,7,10,2
2,Baseline,The_Best_Man’s_Toast,3518.4636,0.5,4,3,2,1,2,3,3,3,2,0
3,BrainCEMISID,The_Best_Man’s_Toast,32413.2201,0.9,10,9,8,10,10,10,9,9,10,2
3,Brain_No_Memory,The_Best_Man’s_Toast,18728.2845,0.9,8,7,6,9,9,9,9,3,8,2
3,Brain_No_Emotion,The_Best_Man’s_Toast,27702.8124,0,9,9,9,10,10,9,8,8,10,2
3,Baseline,The_Best_Man’s_Toast,2808.7205,0.5,8,5,6,10,10,8,7,1,9,0
4,BrainCEMISID,The_Best_Man’s_Toast,32012.8635,0.85,9,8,10,2,10,9,9,3,10,2
4,Brain_No_Memory,The_Best_Man’s_Toast,18191.4572,0.85,1,3,4,0,0,2,6,2,2,2
4,Brain_No_Emotion,The_Best_Man’s_Toast,27777.4713,0,8,8,9,4,9,4,8,5,9,2
